Source IP,Destination IP,Source Port,Destination Port,Payload Length,Timestamp,Protocol ID,Protocol Name,Packet Size,
172.16.24.194,230.0.0.1,50696,6666,511,1.47856E+12,17,UDP,553,null
172.16.24.194,230.0.0.1,60903,6666,50,1.47856E+12,17,UDP,92,null
162.213.33.49,172.16.24.213,443,35074,-1,1.47856E+12,6,TCP,66,null
162.213.33.50,172.16.24.213,443,44120,-1,1.47856E+12,6,TCP,66,null
172.16.24.128,230.0.0.1,63850,6666,50,1.47856E+12,17,UDP,92,null
162.213.33.50,172.16.24.213,443,44126,-1,1.47856E+12,6,TCP,66,null
162.213.33.50,172.16.24.213,443,44124,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.49,35074,443,-1,1.47856E+12,6,TCP,66,null
162.213.33.50,172.16.24.213,443,44128,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.50,44120,443,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.50,44124,443,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.50,44126,443,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.50,44128,443,-1,1.47856E+12,6,TCP,66,null
172.16.24.194,230.0.0.1,50696,6666,50,1.47856E+12,17,UDP,92,null
162.213.33.48,172.16.24.213,443,44780,-1,1.47856E+12,6,TCP,66,null
172.16.24.213,162.213.33.48,44780,443,-1,1.47856E+12,6,TCP,66,null
172.16.24.194,230.0.0.1,60903,6666,50,1.47856E+12,17,UDP,92,null
172.16.24.128,230.0.0.1,63850,6666,50,1.47856E+12,17,UDP,92,null
